,Aquifer,Conductivity [µS/cm],TDS [mg/l],Na+ [mg/l],K+ [mg/l],Ca 2+ [mg/l],Mg 2+ [mg/l],Cl- [mg/l],SO4 2- [mg/l],HCO3- [mg/l],Cu 2+ [mg/l],Br- [mg/l]
0,Ca2+Na,165.0,131600.0,41530.0,194.0,2592.0,775.0,70781.0,4186.0,,0.02,
1,Ca2,107.4,93500.0,28900.0,135.0,2764.0,663.0,48215.0,3968.0,,0.02,
2,Ca2+Na,230.4,206700.0,72125.0,177.0,2573.0,866.0,110726.0,3593.0,,1.15,
3,Ca2+Na,229.0,193500.0,65600.0,129.0,2596.0,652.0,109325.0,3623.0,,4.99,
4,Ca2 brine,336.0,293850.0,110000.0,199.0,2076.0,753.0,175200.0,3358.0,,0.02,
5,Ca2+Na,173.0,141550.0,48300.0,134.0,2854.0,695.0,80806.0,4794.0,,0.048,
6,Ca2+Na,279.0,276850.0,84600.0,1320.0,1940.0,114.2,135140.0,5609.0,50.8,0.023,
7,Ca2+Na,171.0,133350.0,48190.0,109.0,2595.0,1144.0,75929.0,4261.0,,0.02,
8,Ca2,97.5,83250.0,25300.0,96.8,2295.0,1130.0,43746.0,3871.0,,0.02,
9,Ca2+Na,355.0,232300.0,86300.0,128.0,2475.0,667.0,130961.0,4089.0,,0.02,
10,Ca2+Na,107.3,111750.0,37000.0,126.0,3333.0,792.0,59908.0,3954.0,,0.02,
11,Ca2,82.9,81875.0,28000.0,113.0,2695.0,573.0,44861.0,4171.0,,0.02,
12,W10,217.0,170250.0,62000.0,133.0,3054.0,622.0,95434.0,3860.0,,0.98,
13,Ca2+Na,213.0,176700.0,58980.0,130.0,2549.0,651.0,98813.0,3685.0,,0.02,
14,Ca2,108.8,98850.0,31850.0,99.6,2490.0,652.0,54662.0,4034.0,,1.06,
15,Ca2+Na,215.0,178300.0,57600.0,192.0,2648.0,508.0,96710.0,3791.0,,0.747,
16,W10,288.0,264850.0,87191.0,137.0,2514.0,737.0,145066.0,3274.0,,2.23,
17,Ca2+Na,207.0,172950.0,58616.0,127.0,2534.0,668.0,98112.0,3763.0,,0.696,
18,Ca2,114.7,110200.0,39800.0,69.6,2592.0,607.0,68678.0,3858.0,,0.02,
19,Ca2,119.1,113600.0,41200.0,87.8,2553.0,575.0,70080.0,4260.0,,0.02,
20,Ca2,112.6,104900.0,32250.0,67.9,2573.0,549.0,55784.0,3736.0,,0.02,
21,W10,229.0,215000.0,74500.0,184.0,2612.0,573.0,124042.0,3722.0,,0.02,
22,Ca2+Na,183.0,161850.0,51260.0,184.0,2553.0,644.0,86198.0,4151.0,,0.02,
23,W10,332.0,298250.0,103500.0,175.0,2592.0,720.0,171447.0,3197.0,,3.96,
24,Ca2 brine,409.0,310700.0,118200.0,788.0,1277.0,620.0,189216.0,5195.0,,0.02,
25,Ca2,61.6,49800.0,15600.0,122.0,1807.0,481.0,24598.0,4042.0,,0.02,
26,Ca2 brine,390.0,310900.0,120000.0,1190.0,1669.0,621.0,179405.0,5450.0,,0.02,
27,Ca2,87.7,83500.0,23400.0,193.0,2455.0,833.0,42048.0,3815.0,,0.02,
28,Ca2,92.3,85450.0,25960.0,195.0,2494.0,654.0,145552.0,3863.0,,0.02,
29,Ca2,108.8,101050.0,31620.0,171.0,2592.0,594.0,54522.0,4021.0,,0.02,
